idiom,translation
外国で働く
水が飲む
本を読む
映画を見る
無理をしない
電話をする
レポートを出す
電話をかける
資料をコピーする
お風呂に入る
知っています
品物に触る
鍵を忘れる
シャワーを浴びる
ゲームをやる
日本留学が決まる
恋人を探す
お酒をやめる
日本留学を決める
会社が休む     , 公司放假
会社を休む     , 因故不上班 
人が笑う       , 人笑了
人を笑う       , 嘲笑了     
授業が終わる   , 课结束了
授業を終わる   , 结束上课   
風が吹く       , 风刮起来
熱いお茶を吹く , 把热茶吹凉 
ドアが開く        , 门开了
ドアを開ける      , 打开门           
人が集まる        , 人们聚在一起
人を集める        , 把人们集合起来   
父が起きる        , 父亲起床
父を起こす        , 叫醒父亲         
携帯が落ちる      , 手机丢了
携帯を落とす      , 把手机弄丢了     
お金がかかる      , 费钱
お金をかける      , 花钱             
電気が消える      , 电灯灭了
電気を消す        , 把电灯关掉       
電気が付く        , 电灯开着
電気を付ける      , 把电灯打开       
窓が閉まる        , 窗户关着
窓を閉める        , 把窗户关掉       
値段が高くなる    , 价格上涨了
値段を高くする    , 提高价格         
家が建つ          , 房子落成
家を建てる        , 盖房子           
車が止まる        , 汽车停下
車を止める        , 把车停下         
病気が治る        , 病得到了治愈
病気を治す        , 治病             
本が並ぶ          , 书排列着
本を並べる        , 排列书籍         
授業が始まる      , 课开始了
授業を始める      , 开始上课         
仕事が終わる      , 工作结束
仕事を終える      , 结束工作         
富士山が見える    , 能看见富士山
富士山を見る      , 看富士山         
音楽が聞こえる    , 传来音乐
音楽を聞く        , 听音乐           
人がバスに乗る    , 旅客乘公共汽车
人をバスに乗せる  , 让旅客乘公共汽车 
本が鞄に入る      , 书包里放着书
本を鞄に入れる    , 把书放进书包里   
