idx,lesson,expression,shortexplain,explanation
1   , m02     , いくら~ても/いかに~ても           , 逆接                               ,
2   , m02     , ~以上に                           , 对比                               ,
3   , m01     , 一方、~                           , 对比                               ,
4   , m16     , ~一方、~                          , 对比                               ,
5   , m13     , ~一方だ                           , 消极                               ,
6   , m11     , ~うえ(に)、~                      ,                                    ,
7   , m10     , お/ご~申し上げる                  , 自谦                               ,
8   , m16     , お/ご~いただく                    , 自谦                               ,
9   , m09     , お~しております                   , 自谦                               ,
10  , m12     , ~おかげで/~おかげか               , 原因 积极                          ,
11  , m14     , ~かい                             , 大叔腔                             ,
12  , m14     , ~かい/~がい                       , 价值                               ,
13  , m07     , ~かね                             ,                                    ,
14  , m06     , ~かもね                           , 推测                               ,
15  , m16     , ~からといって~とは限らない        , 部分否定                           ,
16  , m16     , ~からといって~ない/~から~ない     ,                                    ,
17  , m08     , ~代わりに~/~かわって              ,                                    ,
18  , m11     , ~気がする                         , 语气弱                             ,
19  , m10     , ~くらい~/ぐらい【最低限度】       , 概数                               ,
20  , m01     , ~くらいだ【强调程度】             , 口语                               ,
21  , m15     , 決して~ない                       , 否定                               ,
22  , m10     , ご~できる                         , 自谦                               ,
23  , m14     , ~こと                             , 忠告 书面                          ,
24  , m15     , ~ことから                         , 原因                               ,
25  , m14     , ~ことだ                           , 忠告 口语                          ,
26  , m07     , ~ごとに                           ,                                    ,
27  , m12     , ~(という)ことになる               ,                                    ,
28  , m14     , ~際、~                            ,                                    ,
29  , m07     , ~さえ                             , 极端                               ,
30  , m07     , ~さえ~ば                          , 条件 最低                          ,
31  , m04     , ~し、~から、~                     , 并列 原因                          ,
32  , m06     , ~じゃって                         , 彻底完成                           ,
33  , m08     , ~末                               , 结果 积极                          ,
34  , m07     , ~すら                             , 极端                               ,
35  , m12     , ~せい/~せいで/~せいか             , 原因 消极                          ,
36  , m08     , ~たあげく(に)                     , 结果 消极                          ,
37  , m08     , ~だけだ                           ,                                    ,
38  , m08     , ~た結果                           , 结果                               ,
39  , m08     , ~だけで                           ,                                    ,
40  , m11     , ~だけで(は)なく~も                ,                                    ,
41  , m08     , ~だけではすまない/だけですむ      ,                                    ,
42  , m15     , ~ために/~ための                   , 原因                               ,
43  , m07     , ~たらいい                         , 建议                               ,
44  , m07     , ~だろうと思う                     ,                                    ,
45  , m15     , ちっとも~ない                     , 否定                               ,
46  , m06     , ~ちゃって                         , 彻底完成                           ,
47  , m07     , ~っけ/~だっけ                     , 确认                               ,
48  , m14     , ~である                           , 书面简体                           ,
49  , m16     , ~である~                          ,                                    ,
50  , m13     , ~ていただければありがたい         , 尊他 请求                          ,
51  , m13     , ~ており、~                        , 自谦                               ,
52  , m15     , ~でしょ                           ,                                    ,
53  , m13     , ~てちょうだい                     ,                                    ,
54  , m02     , ~ては/~では                       , 消极                               ,
55  , m14     , ~て初めて                         ,                                    ,
56  , m11     , ~でも~でも                        ,                                    ,
57  , m08     , ~、~、~、~と                      , 列举                               ,
58  , m07     , ~といい                           , 建议 语气弱                        ,
59  , m05     , ~ということからきた~              ,                                    ,
60  , m04|m11 , ~ということだ/~とのことだ         , 传闻                               ,
61  , m05     , ~という点から                     ,                                    ,
62  , m05     , ~というふうな/~というふうに       , 举例                               ,
63  , m01     , ~というものは/~ということは       , 本质                               ,
64  , m05     , ~というような/~というように       , 举例                               ,
65  , m04     , ~といえば                         , 后续评价                           ,
66  , m05     , ~といったような/~といったように   , 举例                               ,
67  , m06     , ~といっても                       , 转折                               ,
68  , m03     , ~といわれている                   ,                                    ,
69  , m07     , どういう                          , 询问                               ,
70  , m11     , ~と思える/~とおもわれる           , 主观判断                           ,
71  , m09     , ~どわり                           ,                                    ,
72  , m04|m11 , ~ところ/~のところ                 ,                                    ,
73  , m06     , ~とされる                         , 书面                               ,
74  , m03|m05 , ~として                           ,                                    ,
75  , m03     , ~としては                         ,                                    ,
76  , m11     , ~とともに、~                      ,                                    ,
77  , m01     , ~とは                             ,                                    ,
78  , m11     , ~とは比べものにならない           , 比较 要明示对象                    ,
79  , m02     , どんなに~ても/どれだけ~ても       , 逆接                               ,
80  , m07     , ~などという                       , 举例                               ,
81  , m07     , ~なら~、~なら~                    , 提及                               ,
82  , m09     , ~なんて                           , 加强语境语气                       ,
