kana,kanji,pos,desc,word,lesson,idx
であい                                              , 出会い                                       , 名词     , 相遇                                       , !出会(であ)い                                                       , 11  , 1
たすかる                                            , 助かる                                       , 动1      , 获得帮助；得救                             , !助(たす)かる                                                     , 11  , 1
すっかり                                            ,                                              , 副词     , 完全，彻底                                 , すっかり                                                              , 11  , 1
まち                                                , 街                                           , 名词     , 街道；城镇                                 , !街(まち)                                                             , 11  , 1
へんか                                              , 変化                                         , 名词     , 变化                                       , !変化(へんか)                                                         , 11  , 1
ついていく                                          ,                                              , 动1      , 跟上，跟上去                               , ついていく                                                            , 11  , 1
こうそう                                            , 高層                                         , 名词     , 高层                                       , !高層(こうそう)                                                       , 11  , 1
こうそうピル                                        , 高層～                                       , 名词     , 高楼，大厦                                 , !高層～(こうそうピル)                                                 , 11  , 1
へん                                                , 辺                                           , 名词     , 一带，附近                                 , !辺(へん)                                                             , 11  , 1
ニューヨーク                                        ,                                              , 专有词   , 纽约                                       , ニューヨーク                                                          , 11  , 1
しつれいですが                                      , 失礼ですが                                   , 惯用语   , 对不起                                     , !失礼(しつれい)ですが                                           , 11  , 1
かんじがします                                      , 感じがします                                 , 惯用语   , 感觉，觉得                                 , !感(かん)じがします                                         , 11  , 1
てんきんになる                                      , 転勤になる                                   , 惯用语   , 调动工作，调换工作地点                     , !転勤(てんきん)になる                                           , 11  , 1
ちょっと                                            ,                                              , 副词     , 哎，劳驾；有点，稍微；有点儿… ，不太…      , ちょっと                                                              , 11  , 1
おじさん                                            ,                                              , 名词     , 大爷，大叔；伯伯，叔叔，舅舅               , おじさん                                                              , 11  , 1
おねえさん                                          , お姉さん                                     , 名词     , 姐姐                                       , お!姉(ねえ)さん                                                 , 11  , 1
じどうドア                                          , 自動～                                       , 名词     , 自动门                                     , !自動～(じどうドア)                                                   , 11  , 1
めざましどけい                                      , 目覚まし時計                                 , 名词     , 闹钟                                       , !目覚まし時計(めざましどけい)                                         , 11  , 1
おとうさん                                          , お父さん                                     , 名词     , 父亲，爸爸                                 , お!父(とう)さん                                                 , 11  , 1
ふしぎ                                              , 不思議                                       , 形容动词 , 不可思议，奇怪                             , !不思議(ふしぎ)                                                       , 11  , 1
えきべん                                            , 駅弁                                         , 名词     , 车站卖的盒饭                               , !駅弁(えきべん)                                                       , 11  , 1
あめ                                                ,                                              , 名词     , 糖                                         , あめ                                                                  , 11  , 1
なめる                                              ,                                              , 动2      , 舔，含                                     , なめる                                                                , 11  , 1
ちゅうがっこう                                      , 中学校                                       , 名词     , 初级中学，初中                             , !中学校(ちゅうがっこう)                                               , 11  , 1
テスト                                              ,                                              , 名词     , 考试，测验，测试                           , テスト                                                                , 11  , 1
なみだ                                              , 涙                                           , 名词     , 眼泪，泪                                   , !涙(なみだ)                                                           , 11  , 1
しゅと                                              , 首都                                         , 名词     , 首都                                       , !首都(しゅと)                                                         , 11  , 1
きゅうきゅうしゃ                                    , 救急車                                       , 名词     , 急救车，救护车                             , !救急車(きゅうきゅうしゃ)                                             , 11  , 1
ふた                                                ,                                              , 名词     , 盖子，盖                                   , ふた                                                                  , 11  , 1
ひろげる                                            , 広げる                                       , 动2      , 展开，扩大，扩展                           , !広(ひろ)げる                                                     , 11  , 1
わく                                                , 沸く                                         , 动1      , 沸腾，烧开                                 , !沸(わ)く                                                           , 11  , 1
わかす                                              , 沸かす                                       , 动1      , 烧热，烧开                                 , !沸(わ)かす                                                       , 11  , 1
タオル                                              ,                                              , 名词     , 毛巾                                       , タオル                                                                , 11  , 1
かわかす                                            , 乾かす                                       , 名词     , 弄干，晾干                                 , !乾(かわ)かす                                                     , 11  , 1
シャンハイほけん                                    , 上海保険                                     , 专有词   , 上海保险公司                               , !上海保険(シャンハイほけん)                                           , 11  , 1
おおかわ                                            , 大川                                         , 专有词   , 大川                                       , !大川(おおかわ)                                                       , 11  , 1
スペインたいしかん                                  , ～大使館                                     , 专有词   , 西班牙大使馆                               , !～大使館(スペインたいしかん)                                         , 11  , 1
シャンハイコンス                                    , 上海公司                                     , 专有词   , 上海公司                                   , !上海公司(シャンハイコンス)                                           , 11  , 1
アフリカ                                            ,                                              , 专有词   , 非洲                                       , アフリカ                                                              , 11  , 1
ながさき                                            , 長崎                                         , 专有词   , 长崎                                       , !長崎(ながさき)                                                       , 11  , 1
ぼくじょう                                          , 牧場                                         , 名词     , 牧场                                       , !牧場(ぼくじょう)                                                     , 11  , 1
あたり                                              , 辺り                                         , 名词     , 周围，附近                                 , !辺(あた)り                                                         , 11  , 1
してつ                                              , 私鉄                                         , 名词     , 私营铁路                                   , !私鉄(してつ)                                                         , 12  , 1
こうえい                                            , 公営                                         , 名词     , 公营                                       , !公営(こうえい)                                                       , 12  , 1
ジャパンレールウェイズ                              ,                                              , 专有词   , 日本铁路                                   , ジャパンレールウェイズ                                                , 12  , 1
りゃく                                              , 略                                           , 名词     , 略．简略                                   , !略(りゃく)                                                           , 12  , 1
こくえい                                            , 国営                                         , 名词     , 国营                                       , !国営(こくえい)                                                       , 12  , 1
みんえい                                            , 民営                                         , 名词     , 民营                                       , !民営(みんえい)                                                       , 12  , 1
ろせん                                              , 路線                                         , 名词     , 线路                                       , !路線(ろせん)                                                         , 12  , 1
しゅよう                                            , 主要                                         , 形容动词 , 主要                                       , !主要(しゅよう)                                                       , 12  , 1
とし                                                , 都市                                         , 名词     , 城市．都市                                 , !都市(とし)                                                           , 12  , 1
じそく                                              , 時速                                         , 名词     , 时速                                       , !時速(じそく)                                                         , 12  , 1
とうかいどう                                        , 東海道                                       , 专有词   , 东海道                                     , !東海道(とうかいどう)                                                 , 12  , 1
さんよう                                            , 山陽                                         , 专有词   , 山阳                                       , !山陽(さんよう)                                                       , 12  , 1
とうほく                                            , 東北                                         , 专有词   , 东北                                       , !東北(とうほく)                                                       , 12  , 1
きゅうしゅう                                        , 九州                                         , 专有词   , 九州                                       , !九州(きゅうしゅう)                                                   , 12  , 1
のびる                                              , 延びる                                       , 动2      , 延伸，延长                                 , !延(の)びる                                                       , 12  , 1
みんかん                                            , 民間                                         , 名词     , 民间                                       , !民間(みんかん)                                                       , 12  , 1
けいえいする                                        , 経営～                                       , 动3      , 经营                                       , !経営(けいえい)する                                                 , 12  , 1
また                                                ,                                              , 连接词   , 另外．又．再．也                           , また                                                                  , 12  , 1
ちほうじちたい                                      , 地方自治体                                   , 名词     , 地方自治团体                               , !地方自治体(ちほうじちたい)                                           , 12  , 1
じつよう                                            , 実用                                         , 名词     , 实用                                       , !実用(じつよう)                                                       , 12  , 1
うんこう                                            , 運行                                         , 名词     , 运行                                       , !運行(うんこう)                                                       , 12  , 1
ほうこう                                            , 方向                                         , 名词     , 方向                                       , !方向(ほうこう)                                                       , 12  , 1
あらわす                                            , 表す                                         , 形容动词 , 表示，表现，表达                           , !表(あらわ)す                                                       , 12  , 1
のぼり                                              , 上り                                         , 名词     , 上，上行                                   , !上(のぼ)り                                                         , 12  , 1
くだり                                              , 下り                                         , 名词     , 下．下行                                   , !下(くだ)り                                                         , 12  , 1
ほんしゅう                                          , 本州                                         , 专有词   , 本州                                       , !本州(ほんしゅう)                                                     , 12  , 1
ちほう                                              , 地方                                         , 名词     , 地方                                       , !地方(ちほう)                                                         , 12  , 1
ほうめん                                            , 方面                                         , 名词     , 方向，方面                                 , !方面(ほうめん)                                                       , 12  , 1
こんな                                              ,                                              , 形容动词 , 这样的                                     , こんな                                                                , 12  , 1
なぞなぞ                                            ,                                              , 名词     , 谜语                                       , なぞなぞ                                                              , 12  , 1
こたえ                                              , 答え                                         , 名词     , 回答．答案                                 , !答(こた)え                                                         , 12  , 1
ゴンバオシャーレン                                  , 宮保蝦仁                                     , 名词     , 宫保虾仁                                   , !宮保蝦仁(ゴンバオシャーレン)                                         , 12  , 1
エビ                                                ,                                              , 名词     , 虾仁，虾                                   , エビ                                                                  , 12  , 1
ビーナッツ                                          ,                                              , 名词     , 花生米                                     , ビーナッツ                                                            , 12  , 1
とうがらし                                          , 唐辛子                                       , 名词     , 辣椒                                       , !唐辛子(とうがらし)                                                   , 12  , 1
いためる                                            , 炒める                                       , 动2      , 炒                                         , !炒(いた)める                                                     , 12  , 1
おせちりょうり                                      , ～料理                                       , 名词     , 新年饭菜                                   , !～料理(おせちりょうり)                                               , 12  , 1
しょうがつ                                          , 正月                                         , 名词     , 正月；新年                                 , !正月(しょうがつ)                                                     , 12  , 1
おいわい                                            , お祝い                                       , 名词     , 庆贺，祝贺                                 , お!祝(いわ)い                                                     , 12  , 1
こううん                                            , 幸運                                         , 名词     , 幸运．好运，侥幸                           , !幸運(こううん)                                                       , 12  , 1
おとずれる                                          , 訪れる                                       , 动2      , 到来．来临．访问                           , !訪(おとず)れる                                                   , 12  , 1
そだてる                                            , 育てる                                       , 动2      , 养育，抚育，培养                           , !育(そだ)てる                                                     , 12  , 1
こくさい                                            , 国際                                         , 名词     , 国际                                       , !国際(こくさい)                                                       , 12  , 1
