lesson,kana,kanji,type,description
1,ちゅうごくじん,中国人,名,中国人
1,にほんじん,日本人,名,日本人
1,かんこくじん,韓国人,名,韩国人
1,アメリカじん,～人,名,美国人
1,フランスじん,～人,名,法国人
1,がくせい,学生,名,(大)学生
1,せんせい,先生,名,老师
1,りゅうがくせい,留学生,名,留学生
1,きょうじゅ,教授,名,教授
1,しゃいん,社員,名,职员
1,かいしゃいん,会社員,名,公司职员
1,てんいん,店員,名,店员
1,けんしゅうせい,研修生,名,进修生
1,きぎょう,企業,名,企业
1,だいがく,大学,名,大学
1,ちち,父,名,(我)父亲
1,かちょう,課長,名,科长
1,しゃちょう,社長,名,总经理，社长
1,でむかえ,出迎え,名,迎接
1,あのひと,あの人,名,那个人
1,をたし,,代,我
1,あなた,,代,你
1,どうも,,副,非常，很
1,はい,,叹,哎，是(应答)；是的
1,いいえ,,叹,不，不是
1,あっ,,叹,哎，哎呀
1,り,李,专,李
1,おう,王,专,王
1,ちょう,張,专,张
1,もり,森,专,森
1,はやし,林,专,林
1,おの,小野,专,小野
1,よしだ,吉田,专,吉田
1,たなか,田中,专,田中
1,なかむら,中村,专,中村
1,たろう,太郎,专,太郎
1,キム,金,专,金
1,デュポン,,专,迪蓬
1,スミス,,专,史密斯
1,ジョンソン,,专,约翰逊
1,ちゅうごく,中国,专,中国
1,とうきょうだいがく,東京大学,专,东京大学
1,ペキンだいがく,北京大学,专,北京大学
1,ジェーシーきかく,ＪＣ企画,专,JC策划公司
1,ペキンりょこうしゃ,北京旅行社,专,北京旅行社
1,にっちゅうしょうじ,日中商事,专,日中商社
